home_team,away_team,kickoff_utc,stage,venue,home_score,away_score
Mexico,South Africa,2026-06-11T19:00:00Z,Group Stage,"Estadio Azteca, Mexico",,
South Korea,Czechia,2026-06-12T02:00:00Z,Group Stage,"Estadio Akron, Mexico",,
Canada,Bosnia and Herzegovina,2026-06-12T19:00:00Z,Group Stage,"BMO Field, Canada",,
USA,Paraguay,2026-06-13T01:00:00Z,Group Stage,"SoFi Stadium, USA",,
Qatar,Switzerland,2026-06-13T19:00:00Z,Group Stage,"Levi's Stadium, Unknown",,
Brazil,Morocco,2026-06-13T22:00:00Z,Group Stage,"MetLife Stadium, USA",,
Haiti,Scotland,2026-06-14T01:00:00Z,Group Stage,"Gillette Stadium, USA",,
Australia,Trkiye,2026-06-14T04:00:00Z,Group Stage,"BC Place, Canada",,
Germany,Curaao,2026-06-14T17:00:00Z,Group Stage,"NRG Stadium, USA",,
Netherlands,Japan,2026-06-14T20:00:00Z,Group Stage,"AT&T Stadium, USA",,
Ivory Coast,Ecuador,2026-06-14T23:00:00Z,Group Stage,"Lincoln Financial Field, USA",,
Tunisia,Sweden,2026-06-15T02:00:00Z,Group Stage,"Estadio BBVA, Mexico",,
Spain,Cape Verde,2026-06-15T16:00:00Z,Group Stage,"Mercedes-Benz Stadium, USA",,
Belgium,Egypt,2026-06-15T19:00:00Z,Group Stage,"Lumen Field, USA",,
Saudi Arabia,Uruguay,2026-06-15T22:00:00Z,Group Stage,"Hard Rock Stadium, USA",,
Iran,New Zealand,2026-06-16T01:00:00Z,Group Stage,"SoFi Stadium, USA",,
France,Senegal,2026-06-16T19:00:00Z,Group Stage,"MetLife Stadium, USA",,
Norway,Iraq,2026-06-16T22:00:00Z,Group Stage,"Gillette Stadium, USA",,
Argentina,Algeria,2026-06-17T01:00:00Z,Group Stage,"Arrowhead Stadium, USA",,
Austria,Jordan,2026-06-17T04:00:00Z,Group Stage,"Levi's Stadium, Unknown",,
Portugal,DR Congo,2026-06-17T17:00:00Z,Group Stage,"NRG Stadium, USA",,
England,Croatia,2026-06-17T20:00:00Z,Group Stage,"AT&T Stadium, USA",,
Ghana,Panama,2026-06-17T23:00:00Z,Group Stage,"BMO Field, Canada",,
Uzbekistan,Colombia,2026-06-18T02:00:00Z,Group Stage,"Estadio Azteca, Mexico",,
South Africa,Czechia,2026-06-18T16:00:00Z,Group Stage,"Mercedes-Benz Stadium, USA",,
Switzerland,Bosnia and Herzegovina,2026-06-18T19:00:00Z,Group Stage,"SoFi Stadium, USA",,
Canada,Qatar,2026-06-18T22:00:00Z,Group Stage,"BC Place, Canada",,
Mexico,South Korea,2026-06-19T01:00:00Z,Group Stage,"Estadio Akron, Mexico",,
USA,Australia,2026-06-19T19:00:00Z,Group Stage,"Lumen Field, USA",,
Scotland,Morocco,2026-06-19T19:00:00Z,Group Stage,"Gillette Stadium, USA",,
Brazil,Haiti,2026-06-20T01:00:00Z,Group Stage,"Lincoln Financial Field, USA",,
Paraguay,Trkiye,2026-06-20T04:00:00Z,Group Stage,"Levi's Stadium, Unknown",,
Netherlands,Sweden,2026-06-20T17:00:00Z,Group Stage,"NRG Stadium, USA",,
Germany,Ivory Coast,2026-06-20T20:00:00Z,Group Stage,"BMO Field, Canada",,
Ecuador,Curaao,2026-06-21T00:00:00Z,Group Stage,"Arrowhead Stadium, USA",,
Tunisia,Japan,2026-06-21T04:00:00Z,Group Stage,"Estadio BBVA, Mexico",,
Spain,Saudi Arabia,2026-06-21T16:00:00Z,Group Stage,"Mercedes-Benz Stadium, USA",,
Belgium,Iran,2026-06-21T19:00:00Z,Group Stage,"SoFi Stadium, USA",,
Uruguay,Cape Verde,2026-06-21T22:00:00Z,Group Stage,"Hard Rock Stadium, USA",,
New Zealand,Egypt,2026-06-22T01:00:00Z,Group Stage,"BC Place, Canada",,
Argentina,Austria,2026-06-22T17:00:00Z,Group Stage,"AT&T Stadium, USA",,
France,Iraq,2026-06-22T21:00:00Z,Group Stage,"Lincoln Financial Field, USA",,
Norway,Senegal,2026-06-23T00:00:00Z,Group Stage,"MetLife Stadium, USA",,
Jordan,Algeria,2026-06-23T03:00:00Z,Group Stage,"Levi's Stadium, Unknown",,
